Brand Name,Fragrance Name,Family,Main Accords,Key Characteristics / Comparisons,Notes Breakdown - Top,Notes Breakdown - Middle,Notes Breakdown - Base,Sillage Performance,Longevity Performance,Wearability Gender,Wearability Best Seasons,Wearability Time of Day,Fragrantica Page,Concentration,Bottle volume (ml),Opened,Batch number,Production date,Expiration date,Barcode,Extra information,Perfumer,Launch year,Ingredients,Thumbnail image,Extra bottle,"Personal rating
(1 worst to 10 best)",Woman likes
Carrera,Carrera (original),Aromatic Fougere,"Aromatic, Fresh Spicy, Woody, Lavender, Musky, Citrus, Powdery, Warm Spicy, Soft Spicy, Anis","Classic, clean, and unique old-school Italian beach fragrance with prominent citrus, spicy clove, and warm mossy/woody notes; it is often compared to a smoother, spicier version of Moschino Uomo or CK Eternity and is best suited for warm weather, especially spring and summer days. Fresh, Clean, Bright, Crisp, Unique. Clove dominant. Compared also to Realities by Claiborne","Lavender, Bergamot, Coriander, Rosemary","Ginger, Anise, Cloves, Jasmine","Musk, Cedar, Tonka Bean, Sandalwood, Oakmoss, Leather","Moderate, Intimate","Moderate, Weak","Male, More male","Spring, Summer","Day, Night",https://www.fragrantica.com/perfume/Carrera/Carrera-original-19348.html,EDT,50,08/2025,UNKNOWN,UNKNOWN,UNKNOWN,618131009467,Leaked,Unknown,1988,"ALCOHOL DENAT., AQUA/WATER/EAU, PARFUM/FRAGRANCE, METHYL CYCLODEXTRIN, ETHYLHEXYL SALICYLATE, LIMONENE, BUTYL METHOXYDIBENZOYLMETHANE, LINALOOL, CITRAL, ALCOHOL, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE, FARNESOL, TETRASODIUM GLUTAMATE DIACETATE, EXT. D&C VIOLET NO. 2 (CI 60730), FD&C BLUE NO. 1 (CI 42090), FD&C RED NO. 4 (CI 14700)",https://fimgs.net/mdimg/perfume-thumbs/375x500.19348.avif,,,
Cerruti,1881 Men,Aromatic Fougere,"woody, aromatic, fresh spicy, earthy, green, mossy","Classic, elegant, and complex Aromatic Fougere dominated by sharp cypress, pine, moss, and fresh florals that evokes a refined ""Italian barbershop"" feel, is sometimes compared to Dior Eau Sauvage for its sophisticated citrus/herbal style, and is versatile but best for Spring, Summer, and early Fall daytime wear","Juniper, Cypress, Lavender, Bergamot, Carnation, Galbanum and Elemi resin","Vetiver, Ylang-Ylang, Rose, Cassia and Lily-of-the-Valley","Oakmoss, Pine Tree, Cedar, Patchouli, Pepper, Musk and Sandalwood","Moderate, Strong","Moderate, Long lasting","Male, More male","Spring, Summer, Fall",Day,https://www.fragrantica.com/perfume/Cerruti/1881-Men-329.html,EDT,100,,3289A,10/2023,UNDEFINED,5050456522842,"Tester
Made in France
Ref CER0021T
Formula 644-1.02
",Martin Gras,1990,"ALCOHOL DENAT, AQUA/WATER/EAU, PARFUM/FRAGRANCE, ACRYLATES/OCTYLACRYLAMIDE COPOLYMER, ALPHA-ISOMETHYL IONONE, BENZOPHENONE-3, BENZYL BENZOATE, BENZYL SALICYLATE, BHT, BUTYL METHOXYDIBENZOYLMETHANE, CINNAMYL ALCOHOL, CITRAL, CITRONELLOL, COUMARIN, ETHYLHEXYL METHOXYCINNAMATE, ETHYLHEXYL SALICYLATE, EUGENOL, GERANIOL, HEXYLCINNAMAL, HYDROLYZED JOJOBA ESTERS, HYDROXYCITRONELLAL, LIMONENE, LINALOOL, PROPYLENE GLYCOL, D&,C RED N&DEG,33 (CI 17200), FD&,C RED N&DEG,4 (CI 14700), FD&,C YELLOW N&DEG,5 (CI 19140)",https://fimgs.net/mdimg/perfume-thumbs/375x500.329.avif,,,
Cofinluxe,Taxi,Aromatic Fougere,"fresh spicy, lavender, powdery, amber, anis, citrus, woody, aromatic, soft spicy, musky","Spicy Aromatic Fougere scent, often compared to the original Drakkar Noir but with a softer, sweeter, more modern profile, blending citrus and mint in the opening with a clean lavender-barbershop heart and a musky, woody dry-down; its refreshing yet warm character makes it a versatile, inexpensive choice for year-round, daytime casual wear","Lavender, Star Anise, Bergamot","Musk, Nutmeg","Sandalwood, Ambergris","Moderate, Intimate","Moderate, Long lasting","Male, More male","Fall, Spring, Winter, Summer","Day, Night",https://www.fragrantica.com/perfume/Cofinluxe/Taxi-15612.html,EDT,100,,24A8K317A,01/2024,UNDEFINED,3331430740035,"Made in France
Ref 74003",Mark Buxton,2000,"Alcohol Denat. (SD Alcohol 39-C), Parfum (Fragrance), Aqua (Water/Eau), Benzyl Salicylate, Linalool, Benzyl Alcohol, Benzyl Benzoate, Citral, Citronellol, Coumarin, Eugenol, Evernia Prunastri (Oakmoss) Extract, Geraniol, Hydroxycitronellal, Limonene",https://fimgs.net/mdimg/perfume-thumbs/375x500.15612.avif,,,
Coty,Aspen For Men,Aromatic Aquatic,"Aromatic, Woody, Fresh Spicy, Green, Citrus, Fresh, Lavender, Mossy, Conifer","Fresh, clean, and classic aromatic fougère fragrance inspired by nature, with key notes of pine/balsam fir, green notes, citrus, and oakmoss, is most famous for being a budget-friendly alternative to Creed Green Irish Tweed and closely compared to Davidoff Cool Water, and is widely considered a versatile, everyday scent best for spring, summer, and daytime wear. Green, pine-fresh, outdoorsy. Clean, fresh, soapy. Good value","Green Notes, Bergamot, Lemon","Lavender, Juniper, Geranium, Cyclamen, Coriander, Orange Blossom, Jasmine","Balsam Fir, Cedar, Oakmoss, Musk, Ambergris","Moderate, Intimate","Moderate, Weak","Male, More male","Spring, Summer, Fall",Day,https://www.fragrantica.com/perfume/Coty/Aspen-For-Men-17326.html,EDT,100,07/2025,3264,09/2023,UNDEFINED,3614229832259,,Unknown,1989,"Alcohol Denat., Parfum, Aqua, Limonene, Linalool, Citronellol, Geraniol, Coumarin, Alpha-Isomethyl Ionone, Benzyl Salicylate, Hydroxycitronellal, Hexyl Cinnamal, Eugenol, Isoeugenol",https://fimgs.net/mdimg/perfume-thumbs/375x500.17326.avif,,,
Daniel Hechter,Caractere,Leather,"fresh spicy, aromatic, woody, herbal, amber, warm spicy, leather, fresh, smoky, mossy","Classic, ""old-school"" leathery fougère. Community reviews note its complex, woody, and slightly soapy scent with prominent notes of fir, leather, and oakmoss. It's often compared to other 80s powerhouses like Boss No. 1 and Knize Ten. Its warm, bold character makes it best suited for colder days (fall/winter), with some reviewers noting a ""horse"" or medicinal leather quality.","Lavender, Artemisia, Aldehydes, Caraway, Basil and Bergamot","Fir, Carnation, Pepper, Sage, Geranium and Jasmine","Leather, Oakmoss, Incense, Patchouli, Amber, Musk, Cedar and Coconut","Moderate, Strong","Moderate, Long lasting","Male, More male","Winter, Spring, Fall","Day, Night",https://www.fragrantica.com/perfume/Daniel-Hechter/Caractere-4916.html,EDT,50,08/2025,22WO1V3,UNKNOWN,UNKNOWN,3357555040010,"Leaked, transfered remaining to 30ml amber bottle",Alain Verjus,1989,"ALCOHOL DENAT., AQUA/WATER, PARFUM/FRAGRANCE, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, LINALOOL, GERANIOL, EUGENOL, ISOEUGENOL, ALPHA-ISOMETHYL IONONE, AMYL CINNAMAL, COUMARIN, FARNESOL, LIMONENE, HYDROXYCITRONELLAL, CITRAL, CITRONELLOL, HEXYL CINNAMAL, BENZYL ALCOHOL, BENZYL BENZOATE, BENZYL SALICYLATE",https://fimgs.net/mdimg/perfume-thumbs/375x500.4916.avif,,,
Daniel Hechter,Cuir Sensuel,Leather,"citrus, leather, vanilla, aromatic, animalic, fresh spicy, lavender, green, smoky, sweet","Fresh, ""happy"" leather fragrance. Community reviews highlight its unique blend of citrus and soft leather, made smooth by a subtle vanilla. Many praise it as a surprisingly good, affordable scent from a well-known perfumer. It's often compared to a ""sweet leather"" like Guerlain Habit Rouge but is considered more modern and casual. While a versatile, year-round fragrance, its fresh notes make it suitable for warmer days","Petitgrain, Orange, Citron and Bergamot",Lavender and Patchouli,Leather and Vanilla,"Moderate, Intimate","Moderate, Weak","Unisex, Male","Winter, Spring, Fall","Day, Night",https://www.fragrantica.com/perfume/Daniel-Hechter/Cuir-Sensuel-28712.html,EDT,100,08/2025,22UD00,2022,UNDEFINED,360055029008,,Francis Kurkdjian,2013,"Alcohol Denat., Aqua / Water, Parfum / Fragrance, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, C 14700 / Red 4, C 19140 / Yellow 5, Linalool, Geraniol, Cinnamyl Alcohol Limonene, Hydroxyctronellal, Citral, Atronellol",https://fimgs.net/mdimg/perfume-thumbs/375x500.28712.avif,,,
David Beckham,Instinct EDP,Aromatic Fougere,"citrus, aromatic, warm spicy, woody, earthy, anis, soft spicy, fresh spicy, patchouli, floral","Clean, fresh, and slightly spicy aromatic fougère praised by reviewers as a classic, masculine, and unoffensive everyday scent with key notes of Bergamot, Orange, Star Anise, Red Pimento, and Vetiver, is frequently compared to scents with a fresh, soapy vetiver base like Dior Higher Energy or Nautica Voyage, and is overwhelmingly considered best for Spring and Summer due to its light, clean, and refreshing citrus/peppery profile","Bergamot, Mandarin orange leaf, Grapefruit","Cardamom, Pimento, Star anise","Haitian vetiver, White amber, Patchouli","Moderate, Strong","Moderate, Long lasting","Male, More male","Spring, Summer, Fall",Day,https://www.fragrantica.com/perfume/David-Beckham/Instinct-2772.html,EDP,75,,,,,,Tester,Beatrice Piquet and Alain Astori,2005,"Alcohol Denate, Perfume/Fragrance, Aqua/Water/EAU, Ethylhexyl Salicylate, Butylmethoxydibenzoylmethane, Limonene, Linalool, Hydroxycitronellal, EUGENOL, CITRAL, COUMAR. IN, GERANIOUS L, Yellow 5 (CI 19140), Blue 1 (CI 42090)",https://fimgs.net/mdimg/perfume-thumbs/375x500.2772.avif,,,
Davidoff,Cool Water,Aromatic Aquatic,"Aromatic, Green, Marine, Fresh Spicy, Lavender, Woody, Salty","Iconic, widely-owned fresh, clean, and masculine aquatic-aromatic fragrance with prominent notes of mint, lavender, sea water, and cedarwood, is most notably compared to and considered the budget alternative for Creed Green Irish Tweed (GIT), and is universally recommended as a timeless, versatile scent best for hot weather, spring, and daily wear. Fresh, sharp, simple, masculine. Game-changer for aquatic scents. One of the best aquatic scents. Also compared to Aspen For Men Coty","Sea water, Lavender, Mint, Green Notes, Rosemary, Calone, Coriander","Sandalwood, Neroli, Geranium, Jasmine","Musk, Oakmoss, Cedar, Tobacco, Ambergris","Moderate, Intimate","Moderate, Weak","Male, More male","Spring, Summer","Day, Night",https://www.fragrantica.com/perfume/Davidoff/Cool-Water-507.html,EDT,125,06/2025,4292,10/2024,UNDEFINED,3414202000572,,Pierre Bourdon,1988,"ALCOHOL DENAT., AQUA/WQATER/EAU, PARFUM/FRAGRANCE, ACRYLATES/OCTYLACRYLAMIDE COPOLYMER, ALPHA-ISOMETHYL IONONE, BHT, CITRAL, CITRONELLOL,GERANIOL, HYDROLYZED JOJOBA ESTERS, HYDROXYCITRONELLAL, HYDROXYSOHEXYL, 3-CYCLOHEXENE CARBOXALDEHYDE, LIMONENE, LINALOOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.507.avif,,,
Davidoff,Cool Water Intense,Amber Fresh,"amber, citrus, coconut, sweet, lactonic, tropical, vanilla","Significant departure from the original, offering a sweet, fresh, and tropical scent with an emphasis on green mandarin, coconut water, and a warm amber base. This Eau de Parfum is praised for its excellent performance and longevity, often compared to the style of Dior Sauvage or other modern ""blue"" fragrances. While it can be worn year-round, its tropical, fresh sweetness makes it an ideal ""intense summer"" scent for both day and night",Green Mandarin,Coconut Nectar,Amber,"Moderate, Strong","Moderate, Long lasting","Male, More male","Summer, Spring, Fall","Day, Night",https://www.fragrantica.com/perfume/Davidoff/Cool-Water-Intense-55266.html,EDP,75,,5002,01/2025,UNDEFINED,3614228174237,"Made in France
CC64123952",Annick Menardo,2019,"ALCOHOL DENAT., WATER, FRAGRANCE, LINALOOL, CITRUS NOBILIS (MANDARIN ORANGE) PEEL OIL, LIMONENE, BENZYL SALICYLATE, COUMARIN, ETHYLHEXYL METHOXYCINNAMATE, GERANIOL, CITRONELLOL, BENZOPHENONE-3, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, CITRAL, CINNAMAL, EUGENOL, BHT",https://fimgs.net/mdimg/perfume-thumbs/375x500.55266.avif,,,
Davidoff,Zino Davidoff,Oriental Woody,"woody, aromatic, patchouli, warm spicy, balsamic, lavender, fresh spicy, rose, powdery, vanilla","Classical male perfume, uncompromisingly masculine. Elegant floral heart, masculine components. Relevant despite being late 80s. Dark, floral, deep, mysterious, creamy warm. Not for teenagers/club-goers, not for high heat. Polarizing for modern audience.","Brazilian Rosewood, Lavender, Clary Sage, Bergamot","Rose, Geranium, Jasmine, Lily-of-the-Valley","Patchouli, Sandalwood, Vanilla, Cedar","Moderate, Strong","Long lasting, Moderate","Male, More male","Winter, Spring, Fall","Night, Day",https://www.fragrantica.com/perfume/Davidoff/Zino-Davidoff-590.html,EDT,125,06/2025,2360,12/2022,UNDEFINED,3414202000534,,Michel Almairac,1986,"ALCOHOL DENAT., AQUA/WQATER/EAU, PARFUM/FRAGRANCE, PROPYLENE GLYCOL, LIMONENE, LINALOOL, COUMARIN, CITRONELLOL, HYCROXYCITRONELLAL, CITRAL, GERANIOL, EUGENOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.590.avif,,,
Demeter Fragrance,Transfixed,Floral,"Vanilla, Sweet, Tobacco, Aromatic, Powdery, Yellow Floral, Green","Narcotic, complex, and dark floral scent with a sexy, compelling core of ylang-ylang, red poppy, black vanilla, and pronounced tobacco, is occasionally compared in vibe to YSL Cinema and Tom Ford Black Orchid, and is primarily recommended for cooler weather, especially fall and winter nights, though it can be worn year-round. Dark and sexy, with sweetness. Dry down emphasizes tobacco. Layers well with florals","Vanilla, Coca, Tobacco, Ylang-Ylang, Red Poppy",N/A,N/A,"Intimate, Moderate","Moderate, Weak","Unisex, More female","Winter, Fall","Day, Night",https://www.fragrantica.com/perfume/Demeter-Fragrance/Transfixed-70146.html,EDT,120,08/2025,103124,10/2024,UNDEFINED,648389511382,,Unknown,2021,"Alcohol: Denatured alcohol, naturally fermented from corn. 
Fragrance: A mix of Ylang Ylang, Red Poppies, Tobacco Leaves, Black Vanilla Bean, a frosty medicinal accord, and Coca Petals. 
Other ingredients: Carylic/Capic Triglyceride, Water",https://fimgs.net/mdimg/perfume-thumbs/375x500.70146.avif,,,
Denim,Musk Denim,Citrus Aromatic,"woody, patchouli, earthy, aromatic, mossy, fresh spicy, warm spicy, herbal, lavender, citrus","Classic, clean, and warm musky-oriental scent. Community reviews describe it as a rich, smooth scent with prominent notes of spicy cloves, musk, patchouli, and vanilla/tonka bean. It's often compared to the soft, warm musk of scents like Jovan Musk for Men or Old Spice, providing a clean, slightly sweet barbershop finish. Its warm, dense character makes it best suited for cold weather and evening wear",Citruses,Lavender and Myrtle,"Patchouli, Oriental Woodsy notes and Oakmoss",Moderate,Moderate,"Male, More male","Fall, Spring, Winter, Summer","Day, Night",https://www.fragrantica.com/perfume/Denim/Musk-25634.html,Aftershave,100,,24162 CH04,04/2024,UNDEFINED,7640129895014,,Unknown,1982,"Alcohol Denat., Aqua, Perfume, Glycerin, PEG-40 Hydrogenated Castor Oil, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Ethylhexyl Methoxycinnamate, Citral, Citronellol, Coumarin, Eugenol, Geraniol, Limonene, Linalool, CI 15985, CI 16035, CI 42051, CI 47005",https://fimgs.net/mdimg/perfume-thumbs/375x500.25634.avif,,,
Denim,Original Denim,Woody Aromatic,"aromatic, woody, amber, fresh spicy, citrus, soft spicy, earthy, green","Classic, ""barbershop"" aromatic fougère. Community reviews praise its affordable, reliable, and unapologetically masculine scent, highlighted by prominent citrus, lavender, and a dense, mossy/patchouli dry-down. It's often compared to other quintessential 70s-80s classics like Paco Rabanne Pour Homme and Azzaro Pour Homme, though Denim is less complex. Its clean yet substantial profile makes it a versatile, all-season scent, particularly good for daily use","Clary Sage, Bergamot and Petitgrain","Clary Sage, Bergamot and Petitgrain","Vetiver, Cedar and Amber","Moderate, Strong","Long lasting, Moderate","Male, More male","Fall, Spring, Winter, Summer","Day, Night",https://www.fragrantica.com/perfume/Denim/Original-25632.html,EDT,100,10/2025,151126A,11/2023,UNDEFINED,8008970004099,,Unknown,1976,"Alcohol denat., Aqua, Glycerin, Parfum, PEG-40 hydrogenated castor oil, Butyl methoxydibenzoylmethane, Ethylhexyl methoxycinnamate, Ethylhexyl salicylate, Alpha-isomethyl Ionone, Benzyl Benzoate, Benzyl salicylate, Citral, Citronellol, Coumarin, Eugenol, Farnesol, Geraniol, Hexyl Cinnamal, Limonene, Linalool, CI 15985, CI 47005",https://fimgs.net/mdimg/perfume-thumbs/375x500.25632.avif,,,
Diesel,Plus Plus Masculine,Oriental Woody,"warm spicy, citrus, aromatic, powdery, woody, fresh spicy, green, cinnamon, vanilla, sweet","Complex blend of fresh citrus, floral-spicy heart notes like cinnamon and cardamom, and a creamy, slightly sweet base often described as a ""milky"" sandalwood-vanilla accord; it is a versatile, cozy, and affordable choice best suited for fall and spring daytime wear","Orange, Bergamot, Palm Leaf and Heliotrope","Jasmine, Coriander, Birch, Violet, Sage, Cardamom, Green Notes and Lily-of-the-Valley","Cinnamon, Tonka Bean, Nutmeg, Sandalwood, Musk, Patchouli, Anise, Clove, Vetiver and Oakmoss","Moderate, Intimate","Moderate, Weak","More male, Male","Spring, Summer, Fall",Day,https://www.fragrantica.com/perfume/Diesel/Plus-Plus-Masculine-494.html,EDT,75,,CH-89S2,02/2019,UNDEFINED,4085400291001,"Made in Germany
Ref. 29100 
UTIF 1246 MI 82",Arturetto Landi,1997,"Alcohol Denat, Water (Aqua), Fragrance (Parfum)",https://fimgs.net/mdimg/perfume-thumbs/375x500.494.avif,,,
Elizabeth Taylor,Passion for Men,Amber Woody,"warm spicy, woody, amber, aromatic, fresh spicy, vanilla, citrus, floral, powdery, sweet","Bold, Amber Woody fragrance launched in 1989, characterized by a complex, warm blend of spicy cinnamon and nutmeg, aromatic lavender, rich patchouli, and sweet vanilla/amber in the base; often compared to other late '80s orientals like Calvin Klein's Obsession for Men, this mature, confident, and masculine scent is an affordable powerhouse best suited for evening wear in the fall and winter","Lavender, Fruity Notes, Bergamot, Orange, Galbanum, Neroli and Lemon","Cinnamon, Carnation, Nutmeg, Sandalwood, Patchouli, Cedar, Balsam Fir, Jasmine and Geranium","Vanilla, Styrax, Benzoin, Tonka Bean, Oakmoss, Amber, Musk and Vetiver","Moderate, Strong","Moderate, Long lasting","Male, More male","Winter, Fall, Spring",Night,https://www.fragrantica.com/perfume/Elizabeth-Taylor/Passion-for-Men-1710.html,EDC,118,,N25529A,05/2025,UNDEFINED,719346125536,"Made in USA
No. 7225519000",René Morgenthaler,1989,"Alcohol Denat., Water/aqua/eau, Parfum/fragrance, Propylene Glycol, Benzyl Salicylate, Citral, Citronellol, Coumarin, Eugenol, Farnesol, Geraniol, Isoeugenol, Limonene, Linalool, Butyl Methoxydibenzoylmethane, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Blue 1 (ci 42090), Ext. Violet 2 (ci 60730), Red 33 (ci 17200), Red 4 (ci 14700)",https://fimgs.net/mdimg/perfume-thumbs/375x500.1710.avif,,,
Emanuel Ungaro,Ungaro pour L'Homme III,Aromatic Green,"Aromatic, Woody, Rose, Vodka, Fresh Spicy, Lavender, Herbal, Earthy, Citrus, Warm Spicy","Widely praised as a velvety, elegant, aromatic-green, and sensual woody-spicy scent featuring a distinctive blend of rose and vodka notes, is frequently compared to Ralph Lauren Safari and other '90s classics, and is generally considered a versatile fragrance best suited for cooler weather, evenings, or fall and winter nights. Timeless masterpiece, complex, bold. Not for younger users. Intense vodka note","Vodka, Lavender, Sage, Coriander, Orange, Mahogany, Lemon","Rose, Geranium, Jasmine, Lily-of-the-Valley","Sandalwood, Patchouli, Vetiver, Cedar, Oakmoss, Musk","Moderate, Intimate","Moderate, Long lasting","Male, More Male","Winter (54%), Fall (51%)","Day (51%), Night (49%)",https://www.fragrantica.com/perfume/Emanuel-Ungaro/Ungaro-pour-L-Homme-III-1118.html,EDT,100,07/2025,2433802,12/2024,UNDEFINED,8034097954252,Tester,Jacques Polge,1993,"ALCOHOL DENAT., AQUA/WATER/EAU, PARFUM/FRAGRANCE, METHYL CYCLODEXTRIN, ETHYLHEXYL SALICYLATE, LIMONENE, BUTYL METHOXYDIBENZOYLMETHANE, LINALOOL, CITRAL, ALCOHOL, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE, FARNESOL, TETRASODIUM GLUTAMATE DIACETATE, EXT. D&C VIOLET NO. 2 (CI 60730), FD&C BLUE NO. 1 (CI 42090), FD&C RED NO. 4 (CI 14700)",https://fimgs.net/mdimg/perfume-thumbs/375x500.1118.avif,,,
Estée Lauder,Pleasures For Men,Aromatic Spicy,"Fresh Spicy, Aromatic, Warm Spicy, Fresh, Citrus, Woody, Aquatic, Rose, Lavender, Green","Clean, crisp, and fresh woody-spicy fragrance with notable notes of citrus, green leaves, ginger, and sandalwood, is frequently compared to other late 90s fresh scents like Paco Rabanne XS and Calvin Klein Eternity for Men, and is overwhelmingly recommended as a versatile scent best for hot days, spring, and summer wear. Clean and fresh, subtle, good for casual occasions. Nostalgic 90s feel","Nectarine, Grapefruit, Water Notes, Green Notes","Lavender, Pepper, Rose, Geranium, Ginger, Pimento, Coriander","Ebony tree, Oakmoss, Sandalwood, Benzoin","Moderate, Intimate","Moderate, Long lasting","Male, More male","Spring, Summer",Day,https://www.fragrantica.com/perfume/Estee-Lauder/Pleasures-For-Men-535.html,EDT,100,08/2025,A13 22066,03/2022,UNDEFINED,27131521433,,"Pierre Wargnye, Carlos Benaïm, Jean Claude Delville",1997,"ALCOHOL DENAT., PLEASURES FRAGRANCE (PARFUM), WATER\AQUA\EAU, BUTYLPHENYL METHYLPROPIONAL, DILAURYL THIODIPROPIONATE, CITRONELLOL, HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, HEXYL CINNAMAL, ALPHA-ISOMETHYL IONONE, GERANIOL, LINALOOL, LIMONENE, HYDROXYCITRONELLAL, EUGENOL, BENZYL BENZOATE, BENZYL ALCOHOL, CINNAMYL ALCOHOL, CITRAL",https://fimgs.net/mdimg/perfume-thumbs/375x500.535.avif,,,
Faberge,Brut Original,Aromatic Fougere,"aromatic, woody, sweet, fresh spicy, vanilla, lavender, anis, citrus, musky, warm spicy","Nostalgic, clean, and masculine character with prominent anise, lavender, and a powdery, vanillic dry-down. It's widely considered a ""benchmark"" scent, with a similar vibe to other classics like Pinaud Clubman and Old Spice, though it has its own unique profile. Its versatility and fresh feel make it suitable for year-round wear, though its warmth and powdery nature are great for any season.","Lavender, Anise, Bergamot, Basil, Orange Blossom and Lemon","Ylang-Ylang, Geranium and Jasmine","Coumarin, Musk, Sandalwood, Tonka Bean, Oakmoss, Vanila, Vetiver and Patchouli","Intimate, Moderate","Weak, Moderate","More male, Male","Winter, Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Brut-Parfums-Prestige/Brut-15303.html,EDT,100,08/2025,433462,11/2024,UNDEFINED,3014230021039,,Karl Mann,1964,"Alcohol Denat., Aqua, Parfum, PEG-40 Hydrogenated Castor Oil, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Propylene Glycol, Benzyl Alcohol, Benzyl Salicylate, Citral, Citronellol, Coumarin, Geraniol, Hydroxycitronellal, Isoeugenol, Limonene, Linalool, CI 14700, CI 19140",https://fimgs.net/mdimg/perfume-thumbs/375x500.15303.avif,,,
Floid,"Floid ""The Genuine""",Spicy Aftershave,"Powdery, Musky, Animalic, Aromatic, Herbal, Spicy, Menthol, Fresh","Legendary ""barbershop"" aftershave. Community reviews highlight its nostalgic, clean scent with prominent powdery, musky, and mentholated notes. Its warm, spicy and woody undertones, with hints of citrus, are widely praised for evoking a classic barber shop feel. It's often compared to other ""old-school"" scents like Pinaud Clubman and Old Spice, but with its own unique creamy, powdery quality. Its fresh but warm nature makes it suitable for all-season use.","Cardamom, Orange, Mint","Lily of the Valley, Violet, Cedarwood, Patchouli","Musk, Vanilla, Bezoin, Sandalwood",Intimate,Weak,Male,"Winter, Spring, Summer, Fall","Day, Night",https://floid.com/en/aftershave-the-genuine/,Aftershave,150,,211113051,11/2021,UNDEFINED,8004395321117,, J.B. Cendrós,1932,"Aqua (Water/Eau), Alcohol Denat., Glycerin, PEG-40 Hydrogenated Castor Oil, Parfum (Fragrance), Menthol, Rosmarinus officinalis (Rosemary) Leaf Extract, Thymus vulgaris (Thyme) Flower/Leaf Extract, Lavandula angustifolia (Lavender) Flower Extract, Salvia officinalis (Sage) Leaf Extract, Acetum (Vinegar/Vinaigre), Benzyl Alcohol, Linalool, Benzyl Benzoate, Coumarin, Limonene, Benzyl Salicylate, Hydroxycitronellal, Amyl Cinnamal, Geraniol, Benzyl Cinnamate, Cinnamyl Alcohol, Citronellol, Tributyl Citrate, Sodium Benzotriazolyl Butylphenol Sulfonate, Buteth-3, Tris(Tetramethylhydroxypiperidinol) Citrate, CI 19140 (FD&C Yellow No. 5), CI 17200 (D&C Red No. 33), CI 42090 (FD&C Blue No. 1)",https://floid.com/wp-content/uploads/2023/02/floid-aftershave-the-genuine-ambientata.jpg,,,
Fragrance World,Aventos Green,Woody Aromatic,"citrus, aromatic, fruity, green, woody, marine, fresh spicy, powdery, musky, fresh","Most people will identify it with Davidoff Cool Water or Creed Green Irish Tweed (GIT). However, he specifically highlights it's brighter, more citric, and features a strong green tea note, making it distinct. He deems it a dead-center unisex scent, incredibly versatile for year-round wear, including warmer days, due to its fresh, inoffensive character. He praises its good longevity and sillage","Bergamot, Mandarin and Neroli","Black Currant, Marine notes and Green Tea",Sandalwood and Musk,"Intimate, Moderate","Weak, Moderate","Unisex, Male","Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Fragrance-World/Aventos-Green-110601.html,EDP,100,08/2025,L2.FWM/14003/2,09/2023,09/2028,6290360370699,,Unknown,2018,ALCOHOL DENAT • PARFUM \(FRAGRANCE\) • WATER \(AQUA CITRONELLOLS • COUMARIN • EUGENOL • EVERNIA PRUNAS \(OAKMOSS\) EXT. • FARNESOL • GERANIOL • HEXYL CINNAM HYDROXYCITRONELLAL • LIMONENES • LINALOOL ALPHA\-ISOMETHYL,https://fimgs.net/mdimg/perfume-thumbs/375x500.110601.avif,,,
Fragrance World,D'hommes Sport,Citrus Aromatic,"citrus, aromatic, woody, fresh spicy, soft spicy","Highly praised by the community as an excellent ""clone"" of Dior Homme Sport (particularly the 2012/2008 versions). Reviewers note its fresh, citrusy (lemon, grapefruit), and peppery opening, leading to a clean, woody dry-down. It's considered very versatile for all seasons, with its invigorating freshness making it especially suitable for warmer days and daytime wear","Grapefruit, Lemon and Orange",Pink Pepper and Nutmeg,Vetiver and Sandalwood,Moderate,"Moderate, Long lasting","More male, Male","Spring, Summer, Fall",Day,https://www.fragrantica.com/perfume/Fragrance-World/D-hommes-Sport-105264.html,EDP,100,08/2025,L3.FWM/12905,12/2022,12/2027,691106487817,,Unknown,2020,"Alcohol Denat., Fragrance (Parfum), Water (Aqua/Eau), Limonene, Linalool, Citral, Citronellol, Geraniol, Coumarin, Benzyl Benzoate, Alpha-Isomethyl Ionone",https://fimgs.net/mdimg/perfume-thumbs/375x500.105264.avif,,,
