Note,Description
Honey,"A sweet gourmand aroma often attributed to the aromatic compound phenylacetic acid and its esters, which are present in beeswax. Beeswax absolute, obtained by ethanol extraction, is used to provide honeyed flower nuances in luxury perfumes and is sometimes identified as a dominant sweet element in oriental bases"
Cotton Flower,"A floral note used in fragrance compositions, sometimes contributing a light, soft floral effect to aquatic or musky compositions"
Cactus,"A component listed in fragrance notes, providing a unique element, as found in the top notes of Lattafa's Qaed Al Fursan Untamed"
Davana,"A base note derived from *Artemisia pallens*. Its essential oil adds a slightly fruity and liqueur-like touch to a perfume, helping to round out the composition. Davana is listed as a note in some woody amber fragrances"
Wormwood,"An herb from the *Artemisia* genus. The herb is known for having pungent smelling essential oils. The oil contributes sharp, aromatic notes and is sometimes referred to as having a complex aromatic odor with a hint of ambergris"
Praline,"A complex gourmand note reminiscent of caramelized nuts and sweets. It is typically achieved through blending ingredients like vanilla and nutty facets, offering a sweet and delectable quality to fragrance bases"
Saffron,"A potent spice highly valued for its warm, slightly bitter, and intense aroma. Artificially, it can be replicated by the aromatic ketone Safraleine (Givaudan), which contributes a tarry or sharp-leathery character. Saffron is a key component in spicy oriental accords"
Sea Notes,"A complex fantasy note engineered to capture the olfactory essence of the ocean, sea spray, or aquatic environments. These notes typically rely on synthetic molecules like Calone to deliver fresh, ozonic, and often subtly fruity (melon/watermelon-like) nuances. The sensation ranges from clean, crisp marine freshness to a natural, mineral-driven salty quality, defining the aquatic fragrance family."
Water Notes,"A general descriptor referring to molecules that suggest a watery, liquid, or clean sensation in a composition. These notes are employed for lightness and transparency, creating an airy effect, and are common in fresh, modern fragrance profiles."
Marigold,"A floral note that contributes to the middle layer of a fragrance. Derived from the *Tagetes* flower, this note can introduce aromatic, herbaceous, or spicy facets, and is frequently featured in classic floral or chypre compositions like Halston Classic."
Dried Fruits,"A sweet, rich, and often deep gourmand note used to evoke the dense flavor of preserved fruits. It contributes complex sweetness, sometimes with a boozy facet, primarily supporting vanilla, tobacco, and warm spicy accords in powerful oriental base formulations."
Cocoa,"A gourmand note offering a rich, bitter-sweet, and often powdery aroma, derived from the cacao bean. It lends a dark, chocolatey nuance to oriental or sweet compositions and is traditionally used to complement the earthy aspects of natural patchouli."
Rum,"A distinct alcoholic or boozy note utilized primarily in base compositions. It imparts a warm, sweet, and liqueur-like complexity, contributing to the sensual and dense character of fragrances, especially those in the oriental or gourmand categories."
Birch Leaf,"An aromatic green note typically featured in the top of a fragrance. Derived from the birch tree leaf, it provides sharp, clean, and sometimes subtly spicy or slightly minty green facets to fresh and aromatic fougère structures."
Australian Sandalwood,"A specific variety of sandalwood prized for its creamy, rich, woody, and milky aroma. It serves as an authoritative and effective fixative in the base notes, providing strong longevity and a comforting, grounding presence to the overall blend."
Carambola (Star Fruit),"A bright, tropical fruit note characterized by a tart, slightly sweet, and vibrant aroma. It is typically employed in the opening of fragrances to create an immediate sense of juicy freshness and exoticism."
Cumin,"A warm spice known for its intense, pungent, and subtly bitter odor. Its primary aroma compounds are phenols like thymol and carvacrol. In perfumery, it is used sparingly in spicy/aromatic blends, where it can lend a distinctive, earthy, or lightly animalic nuance."
Black Vanilla Husk,"A specialized vanilla note emphasizing the dark, raw, and sometimes slightly bitter characteristics of the dried vanilla pod's exterior. It delivers a rich, dark, and powdered sweetness, distinct from plain vanillin, ideal for dense, cold-weather oriental compositions."
Apple Blossom,"A delicate floral note from the apple tree. It provides fresh, light, and airy floral qualities to the heart of a fragrance, contributing to subtle floral and fruity-floral bouquets."
White Wood,"A broad, modern classification referring to soft, clean, and often airy woody notes, deliberately avoiding the heavy, dark, or smoky characteristics of traditional woods like oud or vetiver. It typically provides a smooth, contemporary structural base."
Hazelnut,"A nutty and creamy gourmand note used primarily in oriental and spicy compositions. It adds a rich, toasted, and sometimes buttery texture, enhancing the edible quality of gourmand fragrance profiles."
Bay Leaf,"An aromatic leaf extract providing a warm, sweet, and phenolic-spicy odor. The oil is rich in eugenol and is historically used in traditional preparations like Bay Rum, lending a distinctly masculine and aromatic-spicy character to fragrances."
Sandalwood,"A luxurious and highly complex base note oil, prized as a natural fixative for its strong ability to anchor a composition and ensure long-lasting presence. Its signature aroma is rich, grounded, creamy, milky, oriental, warm, and suave, primarily attributed to the presence of Alpha- and Beta-Santalol. It is a fundamental element in Oriental and classic masculine fragrances."
Australian Sandalwood,"Sandalwood sourced specifically from Australia. This geographical designation helps differentiate it within global fragrance sourcing markets, contributing its rich, woody profile to luxury bases."
Mysore Sandalwood,"A prized and valuable variety of Indian sandalwood (*Santalum album*), traditionally sourced from the Mysore region of India. It is highly valued in perfumery for its deep, complex, soft, and sweet aroma."
New Caledonia Sandalwood,"Sandalwood sourced from New Caledonia. Its geographical origin distinguishes it as a raw material source in comprehensive fragrance and flavor supply lists."
Watery Notes,"A general category used to convey a feeling of clean, fresh liquid or aqueous transparency in a fragrance, frequently employed in aquatic or ozonic compositions, particularly in the opening and heart stages."
Dry Wood,"Wood notes characterized by an austere absence of sweetness or balsamic moisture. Lack the creamy, milky quality of sandalwood or the balsamic warmth of resins for example. These notes provide a sharp, clean, structural wood foundation, often evoking the smell of raw, untreated timber."
Sugar,"A sweetening note used primarily in gourmand and oriental compositions to provide a basic sweetness. In perfumery, sugar (sucrose) is noted as a humectant in technical directories. It contributes basic sweetness in gourmand and oriental accords and is metabolized into beeswax in bees. It often complements rich vanilla notes, contributing to creamy or smokey accords."
Herbal Notes,"A broad classification for aromatic extracts from traditional culinary and medicinal herbs, lending sharp, green, and invigorating facets to a composition, particularly important in Fougère and aromatic structures."
Cashmere Wood,"A woody note used to contribute warmth, sophistication, and a soft, velvety texture to fragrance bases, often derived from synthetic ketones (Cashmeran) blended with wood materials."
Metallic notes,"An evocative, highly synthetic olfactory quality that suggests a sharp, cold, and steely sensation, sometimes used deliberately in modern accords to add a unique, crisp dissonance or futuristic feel."
Palo Santo,"The common name for Guaiac wood (*Bulnesia sarmientoi*), valued for its soft, precious-woody odor and fixative properties, often providing a warm, balsamic, and slightly smoky dimension to base notes."
Dates,"A sweet, rich, and deep fruity note originating from dried fruit. It is utilized in gourmand and oriental compositions to provide a dense sweetness, sometimes imparting a boozy or caramel-like facet."
Amalfi Lemon,"A specific regional variety of lemon, prized for its classic citrus profile. Lemon oils are dominated by (+)-limonene and the aldehyde citral (geranial + neral). Lemon peel oil is known to be susceptible to phototoxicity, which is why commercial use often requires FCF (Furanocoumarin-Free) versions."
African Orange Flower,"The flower oil of the bitter orange, obtained by solvent extraction to yield orange flower absolute, or by steam distillation to yield Neroli oil. It is characterized as a sweet, honeyed floral citrus note and is a classical ingredient in Eau de Cologne formulas, highly valued in white floral compositions."
Currant Leaf and Bud,"Refers to the extract from blackcurrant buds. The distinctive green and sulfuric nuances are sometimes replicated using the synthetic molecule Stemone in perfumery, which is employed to smooth green notes."
Ebony Tree,"A dark wood note used in deep, mysterious fragrance compositions. True ebony wood is dense, heavy, and almost black, traditionally used for fine musical instrument parts. Diospyros ebenum is sometimes included in fragrance base notes for depth. The related Velvet Apple (*D. blancoi*) has edible fruits but a cheesy exterior odor"
Fig Tree,"Refers to the complex scent profile encompassing the fruit, leaves, and wood of the fig tree (*Ficus carica*). The extract contains notes described as sweet-green, herbaceous, and woody with a mossy undertone."
Guaiac Wood,"A woody note that can be intensely tarry and phenolic smelling in its raw form. The synthetic derivative, Guaiyl Acetate, is often used to achieve a warmer, cozier, and somewhat smoky wood scent, used to provide depth in base notes."
Indonesian Patchouli Leaf,"Patchouli oil (*Pogostemon cablin*) sourced from Indonesia. It is a powerful base note with a sweet-spicy, earthy, and camphoraceous woody aroma. Its strong fixative quality is due to its high content (52–60%) of Patchoulol."
Larch,"A coniferous wood note used in aromatic and woody compositions. Larch resin yields a type of natural balsam, and the material is used in woody structures alongside pine and cedar."
Oak,"A wood note listed in fragrance compositions (e.g., Lagerfeld Classic Grey). Oakwood oil and its derivatives (such as Oakmoss) contribute woody and slightly phenolic or aged nuances to the blend."
Pimento,"Also known as Allspice. Its essential oil is obtained by steam distillation of the berries and is characterized by a warm, sweet, phenolic-spicy odor. Main constituents include Eugenol (up to 75%) and 1,8-cineole. It is used for its spicy and aromatic qualities."
Pine,"A general term for coniferous notes, typically derived from species like maritime pine (*Pinus pinaster*). Pine oil often contains alpha- and beta-pinene, providing resinous, raw, earthy, and musky aromas, which contribute essential lift and freshness to herbaceous and coniferous accords."
Santal Blanc,"A specific name used in fragrance sourcing data, alongside Mysore Sandalwood, referring to high-quality sandalwood oil sourced from regions like India and Nepal. Sandalwood is a critical base note known for its creamy, milky, oriental, and highly persistent fixative properties."
Spicy Notes,"A general classification encompassing a broad spectrum of warming aromas such as cinnamon, pepper, and cardamom. Spices are crucial building blocks for Oriental and Fougère fragrances, balancing freshness with warmth and depth."
Treemoss,"An extract from lichen (*Evernia furfuracea*) that provides a mossy, earthy, and lichen aroma. It is often paired with Oakmoss in Chypre and Fougère structures, but like oakmoss, it is regulated due to its allergen content and requires labeling."
Cashmirwood,"A warm, enveloping woody note frequently used in the base of oriental and aromatic compositions, imparting a soft, velvety texture often reminiscent of vanilla and powdery musk. It is listed as a base note in Zippo Original and Tesori d'Oriente Sandalo del Kashmir & Vetiver."
Coconut Milk,"Described as a creamy note that gives a tropical vibe to a fragrance, specifically mentioned in the key characteristics of Afnan Rare Carbon."
Styrax,"A balsamic resin obtained from Liquidambar or Styrax trees, historically used as an incense material. It has a characteristic balsamic smell, mainly due to cinnamyl cinnamate and hydrocinnamyl cinnamate. Sources include Levant (Turkey) and sweet gum (Honduras)."
Mandarin Leaf,"This specific term is not defined in the sources. The closest known material is Petitgrain (Orange Leaf) which is used in Eau de Cologne formulas for its fresh, green, and citrus notes."
Woodsy Notes,"A broad category of notes used for structure and depth in a composition. They can be combined with amber and balsamic notes, often contributing a dry, smoky, or boozy feel, as seen in Issey Miyake Nuit d’Issey and Bentley for Men."
Spices,"A broad, familiar category of fragrance notes used to add warmth, intensity, or freshness, crucial in Oriental and Fougère structures. They are classified as ""hot/short"" (like cinnamon) or ""cold/long"" (like cardamom and coriander). They pair with leather and wood, as seen in Issey Miyake Nuit d’Issey middle notes."
Birch,"A note found in the middle of a fragrance, such as Diesel Plus Plus Masculine. Birch tar is a resinous balsamic ingredient associated with a creosote or tar-like odor in classic leather accords."
Apple,"A fruity note, fundamental to some fresh woody compositions (Hugo Boss Bottled). Its key aroma compounds include acetaldehyde and various esters like hexyl acetate."
Jasmine Tea,"A floral note, available as a Perfumery Natural extract using SFE (Supercritical Fluid Extraction). Arabian jasmine (*J. sambac*) is also known as Tea jasmine. It is listed in the heart notes of 4711 Jasmine Eau de Cologne."
Powdery Notes,"A general olfactory descriptor describing soft, dry textures often evoked by aromatic ketones (like ionones found in iris and violet), macrocyclic musks, and materials like Heliotrope. It is an accord used frequently in Fougère and Oriental family fragrances."
Tuscan Iris,"While this specific regional note is not defined, the highly prized Iris Pallida Florentina is noted as originating in Italy, contributing a floral, powdery, and woody nuance to fragrances."
Fruits,"A broad category for notes that often appear in the top phase. Specific examples include apricot, plum, and peach. Tropical fruits like mango, papaya, and passion fruit contribute fruity-citrus top notes."
Resins,"A broad category of raw materials essential to the Oriental fragrance family, valued for their balsamic qualities, depth, and ability to fix more volatile notes. Examples include Labdanum, Benzoin, and Olibanum."
Tobacco Flower,"The flower note that provides fragrant, often sweet nuances associated with the tobacco plant. This profile is often imparted by Coumarin (Tonka bean) and is listed as a base note in Issey Miyake L'Eau d'Issey Pour Homme."
Virginia Cedar,"A specific type of cedarwood, an essential oil sourced mainly from the USA, contributing woody notes. It is derived from Juniperus virginiana and is also known as pencil cedar. It is listed as a base note in Antonio Puig Quorum Silver."
Pine Tree,"A woody note typically found in the base of Fougère fragrances, such as in Cerruti 1881 Men. Pine oil is generally classified as a coniferous essential oil."
Oregano,"An aromatic herb whose flavor and aroma are often characterized as thyme-oregano-like, dominated by phenolic compounds like thymol and carvacrol. It is listed as a top note in Ard Al Zaafaran Midnight Oud and Khadlaj Valor Enigma."
Ambroxan,"A synthetic compound (Ambroxide) known for its dry amber, driftwood, and woody aroma, acting as an exceptional fixative with longevity over 400 hours. It is a base note in multiple modern compositions, including Armaf Odyssey Tyrant and French Avenue Liquid Brun."
Pomelo,"A citrus fruit note, listed as a synonym for Grapefruit, with sources including Argentina and the United States. It is sometimes perceived as a sweet/balsamic nuance in certain drydown phases."
French labdanum,"The gum-resin from the rockrose (*Cistus ladaniferus*), often referred to as ""Vegetable Ambergris."" It offers a warm, amber, suave, musky, smoky, and balsamic scent, acting as an indispensable fixative for Oriental and Chypre compositions."
Italian Mandarin,"Mandarin sourced from Italy is referred to as Clementine. The oil provides a sweet, inviting, and highly aromatic top note, often used in classical Eau de Cologne formulations."
Egyptian Cumin,"Cumin is a spice widely used in cooking and sometimes perfumery for its warm, pungent aroma, primarily derived from cuminaldehyde. The herb itself is native to the Irano-Turanian Region."
Moroccan Artemisia,"Artemisia sourced from Morocco is listed as a natural extract. The essential oil derived from this herb contributes sharp, intensely herbaceous, and aromatic qualities to a scent profile."
Italian Lemon,"A specific geographical designation for Lemon. Lemon peel oil is a fresh, bright citrus top note. Along with Bergamot, it forms a core component of the classical Eau de Cologne formulation."
Nutmeg,"A warm, spicy, and sweet note whose aromatic oil is primarily influenced by phenol ethers and terpenes. It is extracted from the shelled kernel of the nutmeg fruit, which is sourced from Indonesia."
African Geranium,"A floral and herbaceous note typically sourced from Africa (Egypt or Madagascar). The Bourbon type (from Réunion/Madagascar) is highly valued for its powerful, green, leafy-rosy odor with a fruity-minty undertone."
Siam Benzoin,"A balsamic resin sourced from Southeast Asia, particularly Laos. It possesses a pleasant, sweet-balsamic odor with a distinct vanilla note and is used extensively for its sweet fixative properties in fragrances."
Haitian Vetiver,"Vetiver oil sourced from Haiti, often preferred by perfumers for its fragrant quality. It is a strong, tenacious base note oil that provides grounding, earthy, smoky, and woody essence to the fragrance."
Elemi resin,"A resinous balsamic ingredient, typically sourced from the Philippines. It imparts a spicy, peppery, and citrus-like aroma with balsamic qualities. Listed in the top notes of Cerruti 1881 Men and Bentley Infinite Intense."
Pine needles,"An aromatic note derived from conifers, providing a fresh, coniferous, piney odor to the heart of the fragrance. Listed specifically in Sung Homme and Fragrance World Green Sapphire."
Oriental Woodsy notes,"A complex base note accord suggesting deep, warm, and spicy wood structure, often combining rich woods with traditional Oriental fixatives like amber and benzoin. It is used as a base note in Denim Musk."
Ivy,"An aromatic plant listed as a green note in fragrance compositions. Its leaf extract has been studied in contexts related to sugar and the enchanted forest."
Gray Musk,"This specific term is not defined in the sources. The closest general concept is Musk, a foundational fixative known for soft, clean, sweet, and powdery aromas."
Carnation leaves,"A component in the middle notes of a fragrance, contributing to the spicy and floral body, as listed in Homme de Café. The Carnation flower odor is closely linked to the phenolic compound Eugenol."
Raspberry,"A sweet fruity note, listed in the middle phase of Homme de Café and Green Sapphire. Historically, compounds from animal products like castoreum were used to simulate raspberry flavor."
Magnolia,"A floral note, whose large-flowered species (*M. grandiflora*) blooms in summer. The fragrance of its live flowers is often dominated by a combination of camphoraceous terpenes and jasmone."
Orchid,"A floral note used in fine perfumery. The scents of orchids are highly complex; one species (*Coryanthes kaiseriana*) emits a dusty, leathery, yet sweetish odor due to N-methyl anthranilaldehyde."
Papaya,"A tropical fruit contributing fruity-citrus notes to the head/top phase of a fragrance, as listed in the compositional brief for the fragrance 'Djinni'."
Green Tea,"A natural extract available as an SFE (Supercritical Fluid Extraction) product. It is listed in the heart of Tesori d'Oriente Sandalo del Kashmir & Vetiver."
Red Berries,"A fruity note listed in the middle notes of Calvin Klein Obsession for Men. Ripe berries often contain benzoic acid."
Balsam Fir,"The resinous oil derived from *Abies balsamea*. It is used for fresh coniferous odors and its oleoresin holds the diterpene abienol, a potential resource for synthesizing the ambergris odorant Ambroxide. Listed in L'Eau d'Issey Pour Homme Eau de Parfum middle notes."
Citron,"A citrus note listed in the top notes of Daniel Hechter Cuir Sensuel and Lalique Pour Homme Equus. It is a citrus fruit species closely related to lemon."
Mandarin orange leaf,"This exact term is not found, but it refers to the same aromatic material as Petitgrain, derived from the bitter orange plant. It provides a fresh, green, citrus note often used in Eaux de Cologne."
Coconut Nectar,"This specific term is not defined in the sources. The closest related term found is Coconut Water, described as a salty note used in Lattafa Asad Zanzibar."
Coca,"The extract of the *Erythroxylum coca* plant, used in fragrances after being decocainized."
Red Poppy,"A note mentioned as part of the unique scent profile of a specific gourmand oriental fragrance."
Myrtle,"An aromatic shrub (*Myrtus*) whose oil is sourced from Morocco and Tunisia. It is listed as a heart note in Denim Musk aftershave."
Palm Leaf,"A green note, listed in the top notes of Diesel Plus Plus Masculine."
Vodka,"An alcoholic beverage note, described as intense and listed in the top notes of Emanuel Ungaro pour L'Homme III."
Mahogany,"A classic woody note, part of the Mahogany family. Listed in the top/middle notes of Emanuel Ungaro pour L'Homme III and Hugo Boss Bottled, contributing to the woody structure."
Nectarine,"A fruity note categorized in the Fruits, Vegetables and Nuts list."
Marine notes,"An olfactory note that suggests the sea, frequently relying on synthetic molecules like Calone to deliver fresh, ozonic, and salty sensations. It is listed as a main accord in Issey Miyake's Le Sel d'Issey."
Cypriol,"An ingredient whose oil (Nagarmotha) has a diffusive, woody-earthy, Oriental character with notes of cinnamon, cedar, and frankincense. It is listed in the ingredients list of Maison Alhambra Hercules."
Violet Leaves,"A green note, providing watery and leafy freshness, used in the top of a fragrance. The synthetic molecule Methyl 2-Octynoate (Folione) is commonly used to recreate the distinct green, violet-leaf effect."
Sicilian bergamot,"A specific high-quality essential oil derived from the peel of the non-edible fruit, traditionally grown in Southern Calabria, Italy. It is a quintessential citrus top note for Cologne and Chypre formulations."
Fruits,"This general term refers to a broad category of fragrance components, often perceived as sweet, juicy, or tart notes, commonly utilized in the top phase of a perfume structure."
Indian Oud,"Agarwood/Oud sourced from India. It is a highly valued, fragrant, dark resinous wood used in high-end oriental compositions. Listed as a base note in Fragrance World Mocha Wood."
Whiskey,"A liquor/boozy note listed in the middle notes of Fragrance World Star Men Nebula, contributing warmth and liqueur-like complexity."
Malt,"A note listed as a middle note in Fragrance World Star Men Nebula. It is generally associated with grains and the brewing process."
White Woods,"A designation for clean, light woody notes, typically synthetic, that provide a smooth, contemporary structural base without the heavy, dark qualities of traditional woods. Listed in Armaf Club de Nuit Precieux middle notes."
Lavender Extract,"An aromatic note derived from the lavender flower, lending a clean, fresh, herbaceous, and sweet floral scent. Listed as a middle note in Givenchy pour Homme."
Angelica,"An intensely herbaceous and distinctive aromatic ingredient. Angelica root/seed contains macrocyclic musks (like Exaltolide) used as fixatives and is regulated by IFRA. Listed in Drakkar Noir heart notes."
Olive Tree,"A woody note listed in Hugo Boss Boss Bottled base notes. The leaf extract is also used as a skin conditioning agent in cosmetic formulations."
Chestnut,"A nutty note listed in the middle phase of Hugo Boss Boss Bottled Eau de Parfum."
Olive Wood Accords,"An accord representing the scent of Olive Wood, listed in the base notes of Hugo Boss Boss Bottled Eau de Parfum."
Frankincense,"The resinous balsamic extract (Olibanum) derived from the Boswellia trees. It has a sweet, woody-balsamic odor and is used for its warm, meditative smoky touch in compositions like Boss Bottled Elixir."
Patchouli Leaf,"The specific leaf of the *Pogostemon cablin* plant, which is the source of Patchouli oil. Listed explicitly as a base note in Boss Bottled Triumph Elixir."
Orangewood,"A woody note listed in the middle phase of Issey Miyake L'Eau Bleue d'Issey Pour Homme."
May Rose,"A floral note derived from the rose (*Rosa centifolia*), whose absolute is sourced in regions like Grasse, France. Listed in the middle notes of Issey Miyake L'Eau Bleue d'Issey Pour Homme."
Nasturtium,"A floral/herbaceous note listed in the middle phase of Issey Miyake L'Eau Bleue d'Issey Pour Homme. The leaf extract is used as a skin conditioning agent."
Ambrette (Musk Mallow),"A musky note whose seeds contain macrocyclic musks like ambrettolide, known for a soft, musky, slightly ambery odor. It is listed in the base notes of Issey Miyake L'Eau Bleue d'Issey Pour Homme."
Blue Lotus,"A floral note found in the middle phase of a fragrance, contributing to a watery elegance. Listed in L'Eau d'Issey Pour Homme Intense middle notes."
Ceylon Cinnamon,"The inner bark of *Cinnamomum verum*, considered ""true cinnamon."" It is valued for its aromatic essential oil (rich in cinnamaldehyde) and is listed as a middle note in Issey Miyake L'Eau d'Issey Pour Homme."
Tahitian Vetiver,"Vetiver oil from Tahiti or related Indonesian/Haitian regions. It is a strong, tenacious base oil listed in L'Eau d'Issey Pour Homme base notes."
Sweet Orange,"A citrus note whose essential oil is obtained by expression of the peel. Sourced from Brazil and the USA, it provides a fresh, sweet component to the opening of a fragrance."
Yellow Mandarin,"A variant of Mandarin Orange that contributes a sweet, juicy citrus scent. Mandarin oil is widely used in Eau de Cologne compositions."
Castoreum,"An animalic secretion extracted from the beaver castor sacs. It has a tar-like odor that softens upon dilution to musky and fruity notes, traditionally used for leathery nuances and fixative properties."
Granny Smith apple,"A specific variety of apple that imparts a fresh, fruity, and green character. It is listed as a middle note in Tommy by Tommy Hilfiger."
Fern,"A fantasy note representing the Fougère accord (Lavender-Oakmoss-Coumarin), which aims to recreate the mysterious scent of a green, damp forest. It is listed as a base note in Jaguar For Men."
Bourbon Vetiver,"A specific designation for high-quality Vetiver oil derived from Reunion and Madagascar. It provides a rich, rooted, woody, and long-lasting aroma, suitable for grounding a composition."
Sequoia,"A woody note listed in the base notes of Lalique Pour Homme Equus. It is noted as a strong, new woody note from California in some descriptive content."
Mace,"A spice derived from the outer coating of the nutmeg seed. Listed as a middle note in Lalique Pour Homme Equus."
Amyris,"Amyris oil, also called 'West Indian sandalwood oil,' is derived from wood. It has a woody scent with a balsamic touch. Sourced from Haiti and listed as a base note in Lalique Pour Homme Equus."
Coconut Water,"An aqueous note listed in the heart of a fragrance, contributing to a clean and fresh profile. In Lattafa Asad Zanzibar, it is explicitly combined with salt and iris."
Salt,"A functional note providing a salty profile, key to marine and aquatic accords. It is listed in the middle notes of Lattafa Asad Zanzibar."
Black Pepper,"A spice whose oil is characterized by its sharp, dry, and piquant odor, dominated by cyclic terpenes. It is used for fixative effects and spicy qualities. Listed in Fragrance World Moonlit Night and Lattafa Asad Zanzibar."
Creme Brulee,"This specific gourmand note is recognized as a complex sweet dessert smell, listed in the general category of ""Sweets and Gourmand Smells"" in perfumery."
Candied Fruits,"A sweet gourmand note listed as a middle note in Lattafa Khamrah Qahwa. Candied fruit peel is listed as a component of the flavor of Balsam of Peru."
Apple Shisha Accord,"A proprietary fantasy note suggesting apple combined with the smoky/tobacco nuances of a hookah/shisha lounge, imparting a dense, jammy dark cherry/apple note with cinnamon and tobacco sweetness."
Oud Smoke,"A smoky note listed in the base of Lattafa Mashrabya. The smoke from Agarwood (Oud) is prized for its sweet-balsamic, vanilla, and musk shades."
Mango,"A tropical fruit note, listed as a volatile top note. Its major volatile components include terpenes and specific esters."
Licorice,"A sweet, distinctive aroma often related to anise and the compound anethole. Licorice is categorized under the Spices list."
Cassis,"This note refers to Black Currant (buds), characterized by a distinctive fresh, fruity, sulphuric, and green aroma, valued in certain Chypre bases and Colognes."
Cognac,"A liquor/boozy note listed as a top note in Maison Alhambra Kismet Magic. Boozy notes contribute warmth and liqueur-like complexity to fragrance profiles."
Coumarin,"A classic aromatic compound naturally found in Tonka beans and sweet clover. it provides a warm, sweet profile resembling hay and tobacco, and is a foundational fixative and key component of the Fougère fragrance architecture."
Peppermint,"An aromatic herb whose oil provides a characteristic fresh, sharp menthol, cooling, and invigorating scent. Used as an impactful top note in fresh compositions."
Indonesian Nutmeg,"Nutmeg oil sourced from Indonesia. It provides a warm, spicy, and sweet scent from its aromatic oil."
Magnolia,"A floral note, part of a family that includes Champaca. The fragrance of its live flowers is often dominated by a combination of camphoraceous terpenes combined with jasmone."
Flax,"A plant whose seeds (*Linum usitatissimum*) yield an oil. Listed as a seed component in the base notes of an unspecified fragrance."
Sylkolide,"A synthetic macrocyclic musk compound, categorized alongside musk and ambergris notes, used as a fixative."
Kumquat,"A citrus fruit note, listed in the top notes of Moschino Uomo?. It contributes a sweet and creamy nuance."
Lime,"A citrus note whose essential oil provides a sharp, tart, and fresh aroma. Used as a refreshing top note, and its oil is rich in citral."
Tobacco Blossom,"The flower note of the tobacco plant. Listed as a middle note in Paris Corner Charuto Tobacco Vanille. Tonka bean absolute contributes powdery tobacco-flower nuances."
Ebony Wood,"A dark, dense wood (*Diospyros ebenum*) used for deep, structural base notes. Listed as a base note in Issey Miyake Nuit d'Issey and Pierre Cardin pour Homme."
Driftwood,"A descriptive term for the dry, marine-woody scent profile of Ambroxan (Ambroxide), the synthetic ambergris substitute."
Tomato Leaf,"A unique green/leaf note that imparts a sharp, fresh nuance. It is listed as part of the olfactive profile of the green fragrance molecule Trifernal."
Wild Jasmine,"A specific floral variation of Jasmine, a white flower note. Listed in the middle notes of Replay #Tank Custom For Him."
Hyacinth,"A floral note used in the heart of floral compositions, such as Gres Cabotine. It contributes green, sweet, and narcotic floral notes."
Blood Orange,"A specific citrus fruit note, whose oil is included in the blend of various citrus oils used in Eau de Cologne. It is listed in the top notes of Rochas L'Homme."
Aquatic notes,"A general descriptor for synthetic compounds like Calone (Watermelon Ketone) that provide fresh, ozonic, and subtly fruity or marine sensations, foundational to the aquatic fragrance family. The synthetic molecule Cascalone offers marine, floral, and fruity watery qualities. Specific aquatic elements such as Marine notes are used in fragrance openings, and are associated with a fresh, clean shower gel vibe. The note provides a fresh, clean, and airy profile, often used to lighten and freshen up a composition."
Cappuccino,"A gourmand beverage note categorized under Sweets and Gourmand Smells, typically evoking a creamy, milky coffee scent. It is the signature accord used in Oriental Vanilla fragrances like Rochas Man Intense."
Calabrian Bergamot,"A highly prized essential oil, traditionally grown in the southern region of Calabria, Italy, and used as a quintessential citrus top note. It is valued for its sweet freshness and floral nuance and is foundational to classical Eau de Cologne and Chypre formulations. The crude oil contains photosensitizing furanocoumarins, necessitating the use of FCF (Furanocoumarin-Free) versions for safety."
Pineapple Leaf,"While this exact specific leaf note is not defined, general green notes are utilized in perfumery, such as Stemone (which recalls fig leaves and blackcurrant buds). The pineapple aroma itself is fruity, juicy, and tropical, sometimes synthesized with molecules like Ethyl 2-methylpentanoate or contained within compounds like Galbex."
Sicilian Lemon,"A regional specification for Lemon, a highly volatile citrus component essential to the composition of Eau de Cologne. Lemon oil provides a bright, sharp citrus top note."
Smoke,"A conceptual note that conveys the sensation of burning wood or incense. It contributes to dark, mysterious, and warm fragrance profiles, often achieved through base notes like Incense, Oud Smoke, or Cedar. Specific woody notes like Guaiac Wood can be smoky, and smoke effects are noted in fragrances containing cedar, oakmoss, and birch."
Pimento Seeds,"Pimento is also known as Allspice, a spice whose dried berries are used in cooking. Allspice oil is obtained by steam distillation and is rich in eugenol (up to 75%), 1,8-cineole, and sesquiterpene caryophyllene, giving it a warm, sweet phenolic-spicy odor resembling clove, pepper, and cinnamon."
Chamomile,"An aromatic flower whose oil is derived from species such as Roman Chamomile (sourced from France) and Wild Chamomile (pineapple weed). Chamomile extracts provide herbaceous, fruity, and calming notes. Roman Chamomile oil is especially suited for top notes in masculine perfumes, where it provides a heady, sweet-herbal diffusion of considerable radiance."
Pink Grapefruit,"A citrus note that is tart, sharp, and vibrant, often used in the top phase of a fragrance for freshness. Grapefruit is explicitly listed as a note alongside Bergamot in several compositions and is sometimes compared to a bitter citrus note."
Cranberry,"A fruity note that naturally contains appreciable amounts of benzoic acid (around 0.05%). Cranberry fruit extract is listed as a botanical ingredient for its skin conditioning and antioxidant properties."
Lily,"A floral note that often refers to **Lily-of-the-Valley (Muguet)** in perfumery. The light floral, sweet, and delicate scent of Muguet is often benchmarked by the synthetic floralizer Hydroxycitronellal. Lily-of-the-Valley is listed in the heart notes of several fragrances."
